Refund,Marital Status,Taxable Income,Cheat
No,Married,172k,No
No,Single,184k,No
No,Single,167k,No
Yes,Divorced,231k,No
No,Married,153k,Yes
No,Married,91k,No
No,Single,59k,Yes
Yes,Single,57k,No
No,Married,101k,No
No,Married,223k,No
No,Married,194k,Yes
No,Married,132k,No
No,Single,197k,No
No,Divorced,151k,No
Yes,Married,105k,No
No,Married,235k,No
Yes,Married,226k,No
Yes,Single,137k,No
No,Divorced,85k,Yes
Yes,Single,65k,No
No,Married,99k,No
Yes,Married,84k,No
No,Single,105k,No
No,Divorced,205k,No
No,Single,153k,Yes
No,Married,61k,Yes
Yes,Single,209k,No
No,Single,69k,Yes
Yes,Single,216k,No
Yes,Married,147k,No
Yes,Married,200k,No
Yes,Single,214k,No
Yes,Divorced,210k,No
Yes,Single,243k,No
No,Married,230k,Yes
No,Married,160k,No
Yes,Married,116k,No
No,Single,206k,No
No,Divorced,68k,Yes
Yes,Married,221k,No
No,Married,123k,No
No,Married,68k,No
No,Single,96k,Yes
Yes,Married,84k,No
Yes,Married,136k,No
No,Married,86k,No
No,Married,143k,No
No,Single,216k,No
Yes,Single,85k,Yes
Yes,Married,243k,No
Yes,Divorced,243k,No
No,Married,139k,No
No,Divorced,159k,Yes
Yes,Married,53k,No
No,Married,209k,No
Yes,Single,117k,Yes
No,Single,242k,No
No,Married,191k,No
No,Single,207k,No
Yes,Divorced,79k,No
No,Divorced,117k,Yes
No,Single,87k,Yes
No,Single,94k,Yes
No,Single,165k,No
Yes,Married,115k,No
No,Divorced,102k,Yes
No,Single,202k,Yes
Yes,Single,141k,No
No,Married,122k,No
Yes,Married,106k,No
No,Married,226k,No
No,Divorced,168k,No
No,Single,209k,No
No,Married,131k,No
No,Married,156k,No
Yes,Divorced,112k,No
No,Divorced,80k,Yes
No,Married,221k,No
No,Single,101k,No
No,Single,52k,Yes
No,Married,59k,No
Yes,Single,232k,No
No,Married,248k,No
No,Married,108k,No
No,Married,84k,No
Yes,Divorced,51k,No
No,Divorced,139k,No
No,Single,239k,Yes
No,Divorced,82k,Yes
Yes,Divorced,73k,Yes
No,Married,133k,No
No,Single,182k,No
No,Married,122k,No
Yes,Divorced,66k,No
Yes,Married,229k,No
No,Single,88k,Yes
No,Divorced,185k,No
No,Divorced,179k,No
No,Married,165k,No
Yes,Married,217k,No
Yes,Married,196k,No
Yes,Married,209k,No
Yes,Divorced,192k,No
No,Married,102k,No
Yes,Single,148k,No
No,Married,155k,No
No,Single,74k,Yes
No,Single,191k,No
No,Divorced,155k,No
No,Single,163k,Yes
No,Divorced,187k,No
Yes,Married,118k,No
No,Single,100k,No
Yes,Single,239k,No
No,Married,77k,No
No,Divorced,213k,No
Yes,Married,164k,No
No,Divorced,211k,No
Yes,Married,217k,No
Yes,Single,192k,No
No,Divorced,110k,Yes
No,Married,141k,Yes
No,Single,101k,No
No,Divorced,85k,Yes
No,Single,73k,Yes
Yes,Single,160k,No
No,Single,214k,No
Yes,Single,228k,No
No,Divorced,144k,No
No,Married,181k,Yes
No,Divorced,176k,No
Yes,Married,184k,No
No,Married,99k,No
Yes,Divorced,124k,Yes
Yes,Single,228k,No
No,Married,135k,No
No,Single,105k,No
Yes,Married,102k,No
No,Married,156k,Yes
No,Single,54k,Yes
No,Single,234k,Yes
No,Divorced,199k,No
No,Divorced,249k,No
No,Married,91k,No
No,Divorced,191k,No
No,Married,156k,No
Yes,Married,129k,No
Yes,Single,217k,No
No,Single,121k,Yes
No,Single,222k,No
Yes,Single,184k,No
No,Married,233k,No
No,Married,80k,No
No,Single,155k,No
No,Married,52k,No
Yes,Divorced,194k,No
No,Married,186k,No
No,Married,218k,No
No,Married,61k,No
No,Single,94k,Yes
No,Married,206k,No
No,Married,188k,No
No,Married,176k,No
No,Single,237k,No
Yes,Married,203k,No
Yes,Single,247k,No
No,Single,132k,No
Yes,Divorced,133k,No
No,Married,175k,No
No,Single,75k,Yes
No,Married,172k,No
No,Single,235k,No
No,Married,103k,Yes
No,Single,145k,No
No,Married,118k,No
No,Single,245k,No
No,Divorced,242k,No
No,Married,130k,No
No,Single,121k,No
No,Married,99k,No
No,Single,115k,No
No,Single,229k,No
Yes,Single,161k,No
Yes,Single,122k,No
Yes,Married,194k,No
Yes,Divorced,176k,No
Yes,Single,245k,No
Yes,Divorced,81k,No
No,Divorced,105k,Yes
No,Married,152k,No
No,Married,206k,No
No,Married,98k,No
No,Single,134k,No
Yes,Married,177k,No
No,Divorced,52k,Yes
Yes,Single,223k,No
No,Married,179k,No
No,Single,87k,Yes
Yes,Married,135k,No
Yes,Married,199k,No
No,Divorced,230k,Yes
No,Divorced,129k,No
Yes,Divorced,241k,No
No,Single,144k,No
Yes,Married,203k,No
No,Single,197k,No
No,Single,204k,No
Yes,Married,123k,No
Yes,Single,91k,No
No,Married,160k,No
No,Married,72k,No
Yes,Single,132k,No
No,Single,245k,No
No,Married,178k,No
No,Married,153k,No
No,Single,85k,Yes
No,Married,238k,No
No,Single,248k,No
No,Divorced,149k,No
No,Divorced,217k,No
No,Single,78k,Yes
No,Married,88k,No
Yes,Married,229k,No
Yes,Single,161k,No
Yes,Divorced,173k,No
Yes,Married,97k,Yes
No,Single,176k,Yes
Yes,Single,98k,No
No,Married,173k,No
Yes,Single,123k,No
No,Divorced,214k,No
No,Married,118k,No
No,Divorced,223k,No
No,Married,107k,No
Yes,Single,150k,Yes
No,Married,65k,No
Yes,Single,173k,Yes
No,Single,160k,No
Yes,Single,134k,No
No,Divorced,84k,Yes
No,Divorced,119k,Yes
No,Single,199k,No
Yes,Divorced,89k,No
Yes,Single,237k,No
No,Divorced,231k,No
No,Married,182k,No
No,Married,228k,No
