Tid,Refund,Marital Status,Taxable Income,Cheat
1,Yes,Married,146k,Yes
2,No,Married,208k,No
3,No,Single,111k,No
4,No,Married,194k,No
5,No,Single,216k,No
6,No,Single,53k,Yes
7,Yes,Married,204k,No
8,No,Divorced,120k,Yes
9,No,Divorced,237k,No
10,No,Married,201k,No
11,No,Divorced,75k,Yes
12,No,Single,226k,No
13,No,Single,182k,Yes
14,No,Married,156k,No
15,No,Married,57k,Yes
16,No,Married,92k,No
17,No,Married,199k,No
18,No,Single,200k,No
19,Yes,Married,217k,Yes
20,Yes,Divorced,157k,No
21,Yes,Married,158k,No
22,Yes,Married,61k,No
23,No,Married,123k,No
24,No,Single,70k,Yes
25,No,Divorced,156k,Yes
26,Yes,Married,139k,No
27,No,Divorced,149k,Yes
28,No,Single,206k,No
29,Yes,Divorced,182k,No
30,No,Married,128k,No
31,Yes,Single,138k,No
32,No,Married,55k,No
33,No,Single,216k,No
34,No,Married,142k,No
35,Yes,Married,204k,No
36,No,Divorced,115k,Yes
37,Yes,Married,96k,No
38,No,Single,206k,No
39,No,Single,57k,No
40,No,Single,181k,No
41,No,Single,99k,Yes
42,No,Single,207k,No
43,No,Divorced,164k,No
44,No,Single,244k,No
45,No,Married,108k,Yes
46,Yes,Divorced,132k,Yes
47,No,Single,123k,No
48,No,Single,212k,No
49,Yes,Single,121k,No
50,No,Single,198k,No
51,No,Single,51k,Yes
52,No,Married,183k,No
53,No,Divorced,108k,Yes
54,No,Married,246k,No
55,Yes,Single,109k,Yes
56,No,Divorced,81k,No
57,Yes,Divorced,231k,No
58,Yes,Divorced,162k,No
59,Yes,Married,95k,No
60,Yes,Single,190k,No
61,No,Married,139k,No
62,No,Married,66k,No
63,Yes,Married,81k,No
64,No,Divorced,83k,No
65,Yes,Married,154k,No
66,Yes,Single,188k,No
67,Yes,Single,50k,Yes
68,No,Single,63k,Yes
69,No,Divorced,72k,Yes
70,No,Single,68k,Yes
71,No,Married,144k,No
72,No,Married,83k,No
73,No,Single,70k,Yes
74,Yes,Married,220k,No
75,No,Divorced,213k,No
76,Yes,Married,249k,No
77,No,Married,170k,No
78,Yes,Single,204k,No
79,No,Married,57k,Yes
80,No,Divorced,118k,Yes
81,No,Divorced,241k,Yes
82,No,Married,224k,No
83,No,Married,204k,Yes
84,No,Single,151k,No
85,Yes,Single,148k,No
86,Yes,Divorced,81k,No
87,Yes,Married,232k,Yes
88,No,Married,59k,Yes
89,No,Married,112k,No
90,No,Divorced,66k,Yes
91,No,Single,70k,Yes
92,Yes,Single,211k,No
93,No,Single,207k,No
94,No,Married,71k,No
95,Yes,Divorced,245k,Yes
96,No,Married,201k,No
97,No,Married,218k,No
98,No,Single,180k,Yes
99,No,Married,166k,No
100,No,Single,247k,No
101,No,Single,110k,Yes
102,No,Married,225k,Yes
103,No,Divorced,203k,No
104,No,Single,120k,No
105,No,Single,144k,No
106,No,Divorced,159k,No
107,No,Married,172k,No
108,No,Married,57k,No
109,No,Divorced,154k,No
110,No,Single,110k,Yes
111,No,Married,68k,Yes
112,No,Single,99k,Yes
